,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67,1266163,85.0
1,Memento,2000,8.4,80,1065952,84.0
2,Snatch,2000,8.3,55,744568,83.0
3,Requiem for a Dream,2000,8.3,68,726376,83.0
4,X-Men,2000,7.4,64,551240,74.0
5,Cast Away,2000,7.8,73,491499,78.0
6,American Psycho,2000,7.6,64,453725,76.0
7,Unbreakable,2000,7.3,62,370358,73.0
8,Mission: Impossible II,2000,6.1,59,300139,61.0
9,Meet the Parents,2000,7.0,73,299747,70.0
10,"O Brother, Where Art Thou?",2000,7.7,69,272228,77.0
11,Gone in 60 Seconds,2000,6.5,35,251947,65.0
12,"Crouching Tiger, Hidden Dragon",2000,7.8,94,245120,78.0
13,The Patriot,2000,7.2,63,244321,72.0
14,Almost Famous,2000,7.9,90,241243,79.0
15,Scary Movie,2000,6.2,48,222270,62.0
16,Final Destination,2000,6.7,36,218832,67.0
17,Pitch Black,2000,7.1,49,218405,71.0
18,"Me, Myself & Irene",2000,6.6,49,214791,66.0
19,The Beach,2000,6.7,43,214437,67.0
20,Amores Perros,2000,8.1,83,212913,81.0
21,How the Grinch Stole Christmas,2000,6.1,46,193990,61.0
22,Traffic,2000,7.6,86,189643,76.0
23,Remember the Titans,2000,7.8,48,189304,78.0
24,What Women Want,2000,6.4,47,184904,64.0
25,Miss Congeniality,2000,6.2,43,177040,62.0
26,Chocolat,2000,7.2,64,172015,72.0
27,Chicken Run,2000,7.0,88,169409,70.0
28,Charlie's Angels,2000,5.5,52,169341,55.0
29,The Emperor's New Groove,2000,7.3,70,168656,73.0
30,Erin Brockovich,2000,7.3,73,164849,73.0
31,Battle Royale,2000,7.6,81,162818,76.0
32,High Fidelity,2000,7.5,79,161874,75.0
33,Road Trip,2000,6.4,55,152236,64.0
34,The Perfect Storm,2000,6.4,59,150283,64.0
35,"Dude, Where's My Car?",2000,5.5,30,130956,55.0
36,Billy Elliot,2000,7.7,74,120105,77.0
37,Scream 3,2000,5.6,56,118318,56.0
38,Hollow Man,2000,5.8,24,117946,58.0
39,Shanghai Noon,2000,6.6,77,115004,66.0
40,What Lies Beneath,2000,6.6,51,113499,66.0
41,The 6th Day,2000,5.9,49,113054,59.0
42,In the Mood for Love,2000,8.1,85,112338,81.0
43,Pay It Forward,2000,7.2,40,109303,72.0
44,The Whole Nine Yards,2000,6.7,47,106028,67.0
45,Men of Honor,2000,7.2,56,103317,72.0
46,Coyote Ugly,2000,5.7,27,103180,57.0
47,The Family Man,2000,6.8,42,99626,68.0
48,Frequency,2000,7.3,67,97078,73.0
49,Gladiator,2000,8.5,67,1266163,85.0
50,Memento,2000,8.4,80,1065952,84.0
51,Snatch,2000,8.3,55,744568,83.0
52,Requiem for a Dream,2000,8.3,68,726376,83.0
53,X-Men,2000,7.4,64,551240,74.0
54,Cast Away,2000,7.8,73,491499,78.0
55,American Psycho,2000,7.6,64,453725,76.0
56,Unbreakable,2000,7.3,62,370358,73.0
57,Mission: Impossible II,2000,6.1,59,300139,61.0
58,Meet the Parents,2000,7.0,73,299747,70.0
59,"O Brother, Where Art Thou?",2000,7.7,69,272228,77.0
60,Gone in 60 Seconds,2000,6.5,35,251947,65.0
61,"Crouching Tiger, Hidden Dragon",2000,7.8,94,245120,78.0
62,The Patriot,2000,7.2,63,244321,72.0
63,Almost Famous,2000,7.9,90,241243,79.0
64,Scary Movie,2000,6.2,48,222270,62.0
65,Final Destination,2000,6.7,36,218832,67.0
66,Pitch Black,2000,7.1,49,218405,71.0
67,"Me, Myself & Irene",2000,6.6,49,214791,66.0
68,The Beach,2000,6.7,43,214437,67.0
69,Amores Perros,2000,8.1,83,212913,81.0
70,How the Grinch Stole Christmas,2000,6.1,46,193990,61.0
71,Traffic,2000,7.6,86,189643,76.0
72,Remember the Titans,2000,7.8,48,189304,78.0
73,What Women Want,2000,6.4,47,184904,64.0
74,Miss Congeniality,2000,6.2,43,177040,62.0
75,Chocolat,2000,7.2,64,172015,72.0
76,Chicken Run,2000,7.0,88,169409,70.0
77,Charlie's Angels,2000,5.5,52,169341,55.0
78,The Emperor's New Groove,2000,7.3,70,168656,73.0
79,Erin Brockovich,2000,7.3,73,164849,73.0
80,Battle Royale,2000,7.6,81,162818,76.0
81,High Fidelity,2000,7.5,79,161874,75.0
82,Road Trip,2000,6.4,55,152236,64.0
83,The Perfect Storm,2000,6.4,59,150283,64.0
84,"Dude, Where's My Car?",2000,5.5,30,130956,55.0
85,Billy Elliot,2000,7.7,74,120105,77.0
86,Scream 3,2000,5.6,56,118318,56.0
87,Hollow Man,2000,5.8,24,117946,58.0
88,Shanghai Noon,2000,6.6,77,115004,66.0
89,What Lies Beneath,2000,6.6,51,113499,66.0
90,The 6th Day,2000,5.9,49,113054,59.0
91,In the Mood for Love,2000,8.1,85,112338,81.0
92,Pay It Forward,2000,7.2,40,109303,72.0
93,The Whole Nine Yards,2000,6.7,47,106028,67.0
94,Men of Honor,2000,7.2,56,103317,72.0
95,Coyote Ugly,2000,5.7,27,103180,57.0
96,The Family Man,2000,6.8,42,99626,68.0
97,Frequency,2000,7.3,67,97078,73.0
98,Gladiator,2000,8.5,67,1266163,85.0
99,Memento,2000,8.4,80,1065952,84.0
100,Snatch,2000,8.3,55,744568,83.0
101,Requiem for a Dream,2000,8.3,68,726376,83.0
102,X-Men,2000,7.4,64,551240,74.0
103,Cast Away,2000,7.8,73,491499,78.0
104,American Psycho,2000,7.6,64,453725,76.0
105,Unbreakable,2000,7.3,62,370358,73.0
106,Mission: Impossible II,2000,6.1,59,300139,61.0
107,Meet the Parents,2000,7.0,73,299747,70.0
108,"O Brother, Where Art Thou?",2000,7.7,69,272228,77.0
109,Gone in 60 Seconds,2000,6.5,35,251947,65.0
110,"Crouching Tiger, Hidden Dragon",2000,7.8,94,245120,78.0
111,The Patriot,2000,7.2,63,244321,72.0
112,Almost Famous,2000,7.9,90,241243,79.0
113,Scary Movie,2000,6.2,48,222270,62.0
114,Final Destination,2000,6.7,36,218832,67.0
115,Pitch Black,2000,7.1,49,218405,71.0
116,"Me, Myself & Irene",2000,6.6,49,214791,66.0
117,The Beach,2000,6.7,43,214437,67.0
118,Amores Perros,2000,8.1,83,212913,81.0
119,How the Grinch Stole Christmas,2000,6.1,46,193990,61.0
120,Traffic,2000,7.6,86,189643,76.0
121,Remember the Titans,2000,7.8,48,189304,78.0
122,What Women Want,2000,6.4,47,184904,64.0
123,Miss Congeniality,2000,6.2,43,177040,62.0
124,Chocolat,2000,7.2,64,172015,72.0
125,Chicken Run,2000,7.0,88,169409,70.0
126,Charlie's Angels,2000,5.5,52,169341,55.0
127,The Emperor's New Groove,2000,7.3,70,168656,73.0
128,Erin Brockovich,2000,7.3,73,164849,73.0
129,Battle Royale,2000,7.6,81,162818,76.0
130,High Fidelity,2000,7.5,79,161874,75.0
131,Road Trip,2000,6.4,55,152236,64.0
132,The Perfect Storm,2000,6.4,59,150283,64.0
133,"Dude, Where's My Car?",2000,5.5,30,130956,55.0
134,Billy Elliot,2000,7.7,74,120105,77.0
135,Scream 3,2000,5.6,56,118318,56.0
136,Hollow Man,2000,5.8,24,117946,58.0
137,Shanghai Noon,2000,6.6,77,115004,66.0
138,What Lies Beneath,2000,6.6,51,113499,66.0
139,The 6th Day,2000,5.9,49,113054,59.0
140,In the Mood for Love,2000,8.1,85,112338,81.0
141,Pay It Forward,2000,7.2,40,109303,72.0
142,The Whole Nine Yards,2000,6.7,47,106028,67.0
143,Men of Honor,2000,7.2,56,103317,72.0
144,Coyote Ugly,2000,5.7,27,103180,57.0
145,The Family Man,2000,6.8,42,99626,68.0
146,Frequency,2000,7.3,67,97078,73.0
147,Gladiator,2000,8.5,67,1266163,85.0
148,Memento,2000,8.4,80,1065952,84.0
149,Snatch,2000,8.3,55,744568,83.0
150,Requiem for a Dream,2000,8.3,68,726376,83.0
151,X-Men,2000,7.4,64,551240,74.0
152,Cast Away,2000,7.8,73,491499,78.0
153,American Psycho,2000,7.6,64,453725,76.0
154,Unbreakable,2000,7.3,62,370358,73.0
155,Mission: Impossible II,2000,6.1,59,300139,61.0
156,Meet the Parents,2000,7.0,73,299747,70.0
157,"O Brother, Where Art Thou?",2000,7.7,69,272228,77.0
158,Gone in 60 Seconds,2000,6.5,35,251947,65.0
159,"Crouching Tiger, Hidden Dragon",2000,7.8,94,245120,78.0
160,The Patriot,2000,7.2,63,244321,72.0
161,Almost Famous,2000,7.9,90,241243,79.0
162,Scary Movie,2000,6.2,48,222270,62.0
163,Final Destination,2000,6.7,36,218832,67.0
164,Pitch Black,2000,7.1,49,218405,71.0
165,"Me, Myself & Irene",2000,6.6,49,214791,66.0
166,The Beach,2000,6.7,43,214437,67.0
167,Amores Perros,2000,8.1,83,212913,81.0
168,How the Grinch Stole Christmas,2000,6.1,46,193990,61.0
169,Traffic,2000,7.6,86,189643,76.0
170,Remember the Titans,2000,7.8,48,189304,78.0
171,What Women Want,2000,6.4,47,184904,64.0
172,Miss Congeniality,2000,6.2,43,177040,62.0
173,Chocolat,2000,7.2,64,172015,72.0
174,Chicken Run,2000,7.0,88,169409,70.0
175,Charlie's Angels,2000,5.5,52,169341,55.0
176,The Emperor's New Groove,2000,7.3,70,168656,73.0
177,Erin Brockovich,2000,7.3,73,164849,73.0
178,Battle Royale,2000,7.6,81,162818,76.0
179,High Fidelity,2000,7.5,79,161874,75.0
180,Road Trip,2000,6.4,55,152236,64.0
181,The Perfect Storm,2000,6.4,59,150283,64.0
182,"Dude, Where's My Car?",2000,5.5,30,130956,55.0
183,Billy Elliot,2000,7.7,74,120105,77.0
184,Scream 3,2000,5.6,56,118318,56.0
185,Hollow Man,2000,5.8,24,117946,58.0
186,Shanghai Noon,2000,6.6,77,115004,66.0
187,What Lies Beneath,2000,6.6,51,113499,66.0
188,The 6th Day,2000,5.9,49,113054,59.0
189,In the Mood for Love,2000,8.1,85,112338,81.0
190,Pay It Forward,2000,7.2,40,109303,72.0
191,The Whole Nine Yards,2000,6.7,47,106028,67.0
192,Men of Honor,2000,7.2,56,103317,72.0
193,Coyote Ugly,2000,5.7,27,103180,57.0
194,The Family Man,2000,6.8,42,99626,68.0
195,Frequency,2000,7.3,67,97078,73.0
196,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,1571082,88.0
197,A Beautiful Mind,2001,8.2,72,801531,82.0
198,"Monsters, Inc.",2001,8.0,79,771832,80.0
199,Donnie Darko,2001,8.0,88,714526,80.0
200,Amélie,2001,8.3,69,673112,83.0
201,Harry Potter and the Sorcerer's Stone,2001,7.6,64,595152,76.0
202,Spirited Away,2001,8.6,96,587956,86.0
203,Shrek,2001,7.8,84,584519,78.0
204,Ocean's Eleven,2001,7.8,74,488855,78.0
205,Training Day,2001,7.7,69,368600,77.0
206,Black Hawk Down,2001,7.7,74,349923,77.0
207,The Fast and the Furious,2001,6.8,58,331352,68.0
208,The Others,2001,7.6,74,322730,76.0
209,Mulholland Drive,2001,7.9,83,301036,79.0
210,Pearl Harbor,2001,6.2,44,300686,62.0
211,The Mummy Returns,2001,6.3,48,290642,63.0
212,Jurassic Park III,2001,5.9,42,283875,59.0
213,A.I. Artificial Intelligence,2001,7.2,65,280996,72.0
214,Moulin Rouge!,2001,7.6,66,257902,76.0
215,The Royal Tenenbaums,2001,7.6,76,253489,76.0
216,Hannibal,2001,6.8,57,243175,68.0
